index_code,date,open,close,low,high,volume,money,change,label
300,2006/9/6,1341.4,1346.37,1331.85,1346.37,23153112,13799604057,0.4244,1328.38
300,2006/9/7,1348.17,1328.38,1323.98,1348.28,21886449,13054999552,-1.3362,1332.15
300,2006/9/8,1327.56,1332.15,1326.25,1334.73,17230273,10157793916,0.2838,1338.76
300,2006/9/11,1331.89,1338.76,1319.21,1338.76,20947266,12839285596,0.4962,1347.64
300,2006/9/12,1338.81,1347.64,1337.3,1350.53,27301891,15787258083,0.6633,1338.39
300,2006/9/13,1348.85,1338.39,1337.46,1356.86,32821191,18701751194,-0.6864,1338.28
300,2006/9/14,1338.35,1338.28,1323.8,1345.59,22217284,13679517835,-0.0082,1362.32
300,2006/9/15,1338.41,1362.32,1338.14,1362.4,36057148,19594629097,1.7963,1375.56
300,2006/9/18,1367.65,1375.56,1362.14,1375.58,31454851,18187622927,0.9719,1378.31
300,2006/9/19,1377.72,1378.31,1371.43,1385.62,26648301,15942860310,0.1999,1378.46
300,2006/9/20,1376.12,1378.46,1365.72,1381.81,23445880,14017239840,0.0109,1387.37
300,2006/9/21,1378.46,1387.37,1378.46,1390.62,26094121,16026131513,0.6464,1374.85
300,2006/9/22,1389.87,1374.85,1373.94,1393.53,28265042,18173169466,-0.9024,1372.4
300,2006/9/25,1372.81,1372.4,1361.61,1383.77,24584780,15493803707,-0.1782,1357.65
300,2006/9/26,1370.86,1357.65,1351.18,1371.58,19703278,11953758768,-1.0748,1371.12
300,2006/9/27,1357.28,1371.12,1355.39,1371.12,17580323,10897805770,0.9922,1387
300,2006/9/28,1372.13,1387,1369.4,1389.56,21687792,14070853853,1.1582,1403.27
300,2006/9/29,1389.07,1403.27,1389.04,1405.56,27166742,17347640073,1.173,1436.07
300,2006/10/9,1420.36,1436.07,1418.21,1436.07,39191862,23762250623,2.3374,1437.24
300,2006/10/10,1437.69,1437.24,1426.97,1443.5,38400486,24024747915,0.0815,1435.91
300,2006/10/11,1436.68,1435.91,1421.81,1440.21,31617987,18592012045,-0.0925,1426.5
300,2006/10/12,1436.2,1426.5,1423.63,1438.8,37956237,21048271007,-0.6553,1430.88
300,2006/10/13,1424.3,1430.88,1420.96,1436.1,28295156,16770803951,0.307,1418.52
300,2006/10/16,1432.31,1418.52,1415.49,1434.53,28492186,17341289788,-0.8638,1414.45
300,2006/10/17,1416.95,1414.45,1410.67,1426.29,24224403,15151115999,-0.2869,1437.59
300,2006/10/18,1413.91,1437.59,1413.55,1437.59,24290308,15015405334,1.636,1439.38
300,2006/10/19,1438.84,1439.38,1433.94,1445.62,23820267,14441180899,0.1245,1440.18
300,2006/10/20,1440.67,1440.18,1436.65,1447.95,26560143,16526648077,0.0556,1408.71
300,2006/10/23,1439.54,1408.71,1403.01,1444.92,28950377,17710776103,-2.1852,1440.05
300,2006/10/24,1408.58,1440.05,1408.58,1440.05,26189972,16151232545,2.2247,1446.82
300,2006/10/25,1443.11,1446.82,1434.81,1459.73,32204895,21177150676,0.4701,1456.09
300,2006/10/26,1447.09,1456.09,1435.28,1457.37,38466362,21300294417,0.6407,1439.05
300,2006/10/27,1455.98,1439.05,1433.35,1460.45,37379304,21496189402,-1.1703,1446.24
300,2006/10/30,1436.66,1446.24,1428.33,1446.24,35320452,19874454982,0.4996,1464.47
300,2006/10/31,1447.06,1464.47,1447.06,1464.48,36952283,21463617498,1.2605,1479.41
300,2006/11/1,1465.67,1479.41,1461.32,1479.41,38926925,23518429064,1.0202,1479.66
300,2006/11/2,1480.55,1479.66,1464.6,1480.55,42373136,24757963551,0.0169,1488.29
300,2006/11/3,1481.58,1488.29,1480.77,1497.47,39372027,23319284127,0.5832,1507.89
300,2006/11/6,1477.44,1507.89,1472,1507.97,42033510,25221678236,1.3169,1516.1
300,2006/11/7,1512.65,1516.1,1491.33,1516.8,43038328,27894549966,0.5445,1498.17
300,2006/11/8,1512.36,1498.17,1497.01,1513.04,28722405,19140307948,-1.1826,1524.71
300,2006/11/9,1491.8,1524.71,1489.2,1527.38,34030133,22283038119,1.7715,1504.06
300,2006/11/10,1525.23,1504.06,1493.2,1535.2,53922867,31931185346,-1.3543,1475.78
300,2006/11/13,1498.06,1475.78,1465.63,1512.95,41653301,25176222093,-1.8802,1493.78
300,2006/11/14,1475.44,1493.78,1453.26,1493.88,36307885,22029308293,1.2197,1534.76
300,2006/11/15,1494.11,1534.76,1490.87,1534.85,40589216,26135569100,2.7434,1533.29
300,2006/11/16,1540.26,1533.29,1531.29,1558.41,57760948,34127308461,-0.0958,1562.08
300,2006/11/17,1528.01,1562.08,1521.55,1562.24,44446191,26950444425,1.8777,1593.16
300,2006/11/20,1567.34,1593.16,1567.34,1593.19,53412359,32990614478,1.9897,1612.25
300,2006/11/21,1591.47,1612.25,1568.95,1612.46,48601842,32628579472,1.1982,1624.03
300,2006/11/22,1610.05,1624.03,1600.38,1639.41,57065495,38065264000,0.7307,1634.91
300,2006/11/23,1623.71,1634.91,1618.04,1642.81,51360679,31474406048,0.6699,1636.58
300,2006/11/24,1629.89,1636.58,1611.55,1640.75,49712096,32398044934,0.1021,1651.8
300,2006/11/27,1632.66,1651.8,1627.92,1651.8,47267270,32057818416,0.93,1644.01
300,2006/11/28,1649.68,1644.01,1629.82,1656.19,44762916,29502974821,-0.4716,1667.14
300,2006/11/29,1617.69,1667.14,1604.81,1672.91,45578411,30895012009,1.4069,1714.36
300,2006/11/30,1671.67,1714.36,1671.67,1714.49,60216088,39869047599,2.8324,1729.22
300,2006/12/1,1719.28,1729.22,1715.79,1741.8,58413581,41045221076,0.8668,1780.74
300,2006/12/4,1731.9,1780.74,1731.9,1780.8,71434333,46947580844,2.9794,1794.23
300,2006/12/5,1785.44,1794.23,1777.43,1811.66,67202576,47255774605,0.7575,1779.41
300,2006/12/6,1794.26,1779.41,1717.72,1806.65,81276700,53383291513,-0.826,1775.71
300,2006/12/7,1774.19,1775.71,1770.57,1820.72,80487502,51388011540,-0.2079,1711.58
300,2006/12/8,1752.77,1711.58,1710,1772.16,66257746,41980241160,-3.6115,1789.92
300,2006/12/11,1705.91,1789.92,1705.91,1790.11,51335975,33169358578,4.5771,1802.79
300,2006/12/12,1798.46,1802.79,1772.11,1819.8,57833543,38702468004,0.719,1803.86
